id,id_usuario,id_restaurante,fecha,estado
ped_00001,user_0295,res_0025,2026-01-11,cancelado
ped_00002,user_0197,res_0064,2024-03-29,entregado
ped_00003,user_0076,res_0084,2025-11-09,entregado
ped_00004,user_0458,res_0097,2026-10-29,entregado
ped_00005,user_0399,res_0055,2023-03-25,entregado
ped_00006,user_0412,res_0090,2024-11-26,pendiente
ped_00007,user_0026,res_0072,2023-05-26,entregado
ped_00008,user_0234,res_0018,2026-06-30,pendiente
ped_00009,user_0342,res_0068,2025-02-18,cancelado
ped_00010,user_0163,res_0097,2026-12-31,pendiente
ped_00011,user_0314,res_0093,2027-01-01,cancelado
ped_00012,user_0219,res_0071,2024-07-02,entregado
ped_00013,user_0381,res_0061,2024-07-10,pendiente
ped_00014,user_0385,res_0032,2026-09-17,cancelado
ped_00015,user_0142,res_0099,2026-05-12,cancelado
ped_00016,user_0249,res_0081,2023-05-05,pendiente
ped_00017,user_0226,res_0010,2026-01-01,pendiente
ped_00018,user_0121,res_0035,2023-11-19,pendiente
ped_00019,user_0458,res_0070,2022-06-15,entregado
ped_00020,user_0078,res_0030,2024-02-24,cancelado
ped_00021,user_0079,res_0091,2023-03-15,entregado
ped_00022,user_0213,res_0053,2023-11-09,cancelado
ped_00023,user_0239,res_0054,2022-05-08,entregado
ped_00024,user_0427,res_0054,2024-03-08,cancelado
ped_00025,user_0485,res_0090,2022-02-10,cancelado
ped_00026,user_0195,res_0062,2022-01-13,pendiente
ped_00027,user_0153,res_0097,2024-03-09,pendiente
ped_00028,user_0276,res_0096,2026-02-13,cancelado
ped_00029,user_0410,res_0078,2027-01-13,entregado
ped_00030,user_0250,res_0029,2023-07-13,pendiente
ped_00031,user_0249,res_0004,2024-03-07,pendiente
ped_00032,user_0343,res_0087,2026-06-23,pendiente
ped_00033,user_0371,res_0022,2026-09-18,pendiente
ped_00034,user_0471,res_0017,2025-06-28,cancelado
ped_00035,user_0014,res_0051,2025-04-27,cancelado
ped_00036,user_0340,res_0004,2022-06-21,cancelado
ped_00037,user_0220,res_0018,2026-11-11,pendiente
ped_00038,user_0094,res_0007,2023-06-17,pendiente
ped_00039,user_0168,res_0028,2024-07-20,pendiente
ped_00040,user_0173,res_0098,2026-12-07,pendiente
ped_00041,user_0143,res_0097,2027-05-03,pendiente
ped_00042,user_0130,res_0011,2024-08-21,entregado
ped_00043,user_0384,res_0070,2022-04-17,pendiente
ped_00044,user_0115,res_0084,2022-05-21,cancelado
ped_00045,user_0021,res_0097,2022-03-05,entregado
ped_00046,user_0103,res_0003,2025-06-26,entregado
ped_00047,user_0123,res_0017,2024-08-27,cancelado
ped_00048,user_0059,res_0073,2027-04-26,entregado
ped_00049,user_0239,res_0090,2023-06-09,pendiente
ped_00050,user_0086,res_0078,2025-05-28,cancelado
ped_00051,user_0368,res_0015,2026-05-12,entregado
ped_00052,user_0494,res_0040,2022-08-10,cancelado
ped_00053,user_0014,res_0040,2025-03-25,cancelado
ped_00054,user_0465,res_0049,2024-03-23,cancelado
ped_00055,user_0102,res_0010,2025-04-27,cancelado
ped_00056,user_0426,res_0081,2023-05-13,entregado
ped_00057,user_0357,res_0099,2023-09-10,cancelado
ped_00058,user_0308,res_0016,2026-06-19,cancelado
