id,id_usuario,id_restaurante,fecha,invitados
resv_00001,user_0154,res_0073,2026-01-24,6
resv_00002,user_0285,res_0069,2022-02-08,4
resv_00003,user_0296,res_0088,2023-11-11,6
resv_00004,user_0034,res_0020,2023-07-29,1
resv_00005,user_0174,res_0049,2025-07-07,9
resv_00006,user_0432,res_0022,2025-03-15,10
resv_00007,user_0200,res_0024,2025-05-03,2
resv_00008,user_0443,res_0097,2023-09-24,6
resv_00009,user_0364,res_0005,2023-07-11,7
resv_00010,user_0045,res_0064,2026-12-02,4
resv_00011,user_0191,res_0058,2026-08-26,5
resv_00012,user_0111,res_0068,2023-09-12,3
resv_00013,user_0058,res_0048,2026-05-27,1
resv_00014,user_0399,res_0026,2027-02-14,2
resv_00015,user_0228,res_0065,2022-02-21,8
resv_00016,user_0464,res_0065,2022-11-12,4
resv_00017,user_0175,res_0062,2026-02-09,9
resv_00018,user_0159,res_0100,2023-11-02,3
resv_00019,user_0394,res_0013,2026-08-11,9
resv_00020,user_0347,res_0017,2023-02-25,1
resv_00021,user_0236,res_0050,2026-01-01,9
resv_00022,user_0060,res_0001,2023-09-29,1
resv_00023,user_0352,res_0077,2026-11-21,2
resv_00024,user_0171,res_0060,2026-12-27,1
resv_00025,user_0053,res_0067,2026-04-19,5
resv_00026,user_0012,res_0074,2026-04-03,5
resv_00027,user_0328,res_0027,2023-10-20,4
resv_00028,user_0099,res_0037,2023-07-21,9
resv_00029,user_0164,res_0099,2024-06-22,2
resv_00030,user_0140,res_0020,2022-11-19,5
resv_00031,user_0059,res_0002,2027-05-17,10
resv_00032,user_0287,res_0066,2022-07-29,4
resv_00033,user_0278,res_0045,2025-01-30,6
resv_00034,user_0139,res_0019,2027-04-16,5
resv_00035,user_0294,res_0032,2022-12-17,2
resv_00036,user_0160,res_0079,2027-01-02,6
resv_00037,user_0277,res_0057,2022-04-14,3
resv_00038,user_0015,res_0061,2027-01-24,1
resv_00039,user_0055,res_0050,2022-04-21,2
resv_00040,user_0219,res_0051,2023-01-02,10
resv_00041,user_0457,res_0076,2025-07-13,8
resv_00042,user_0316,res_0046,2023-10-02,6
resv_00043,user_0419,res_0026,2025-12-31,9
resv_00044,user_0041,res_0097,2026-04-15,8
resv_00045,user_0291,res_0017,2022-07-10,8
resv_00046,user_0050,res_0059,2023-09-28,8
resv_00047,user_0241,res_0030,2027-04-25,4
resv_00048,user_0074,res_0079,2023-06-13,6
resv_00049,user_0201,res_0024,2025-12-03,6
resv_00050,user_0404,res_0042,2024-07-17,8
resv_00051,user_0016,res_0009,2024-08-31,2
resv_00052,user_0180,res_0062,2024-08-02,3
resv_00053,user_0145,res_0099,2023-12-15,10
resv_00054,user_0295,res_0017,2024-11-06,2
resv_00055,user_0208,res_0092,2026-06-20,2
resv_00056,user_0167,res_0072,2025-08-23,2
resv_00057,user_0406,res_0039,2024-12-27,8
resv_00058,user_0206,res_0076,2024-04-26,4
resv_00059,user_0318,res_0032,2025-01-27,3
resv_00060,user_0499,res_0062,2024-02-26,2
resv_00061,user_0175,res_0027,2026-07-25,10
resv_00062,user_0221,res_0056,2025-03-07,6
resv_00063,user_0279,res_0089,2023-04-29,3
resv_00064,user_0340,res_0086,2022-06-09,10
resv_00065,user_0429,res_0063,2022-08-23,10
resv_00066,user_0306,res_0060,2023-10-29,9
