desde_tipo,desde_id,relacion,hasta_tipo,hasta_id
Pedido,1,CONTINE,Producto,46
Pedido,1,CONTINE,Producto,42
Pedido,1,CONTINE,Producto,61
Pedido,2,CONTINE,Producto,70
Pedido,2,CONTINE,Producto,35
Pedido,3,CONTINE,Producto,57
Pedido,3,CONTINE,Producto,18
Pedido,3,CONTINE,Producto,90
Pedido,4,CONTINE,Producto,23
Pedido,4,CONTINE,Producto,76
Pedido,4,CONTINE,Producto,77
Pedido,5,CONTINE,Producto,81
Pedido,5,CONTINE,Producto,96
Pedido,6,CONTINE,Producto,73
Pedido,6,CONTINE,Producto,56
Pedido,6,CONTINE,Producto,68
Pedido,7,CONTINE,Producto,82
Pedido,7,CONTINE,Producto,69
Pedido,7,CONTINE,Producto,40
Pedido,8,CONTINE,Producto,62
Pedido,8,CONTINE,Producto,70
Pedido,9,CONTINE,Producto,12
Pedido,10,CONTINE,Producto,40
Pedido,10,CONTINE,Producto,47
Pedido,11,CONTINE,Producto,34
Pedido,11,CONTINE,Producto,20
Pedido,12,CONTINE,Producto,2
Pedido,12,CONTINE,Producto,1
Pedido,13,CONTINE,Producto,98
Pedido,13,CONTINE,Producto,18
Pedido,13,CONTINE,Producto,45
Pedido,14,CONTINE,Producto,61
Pedido,14,CONTINE,Producto,69
Pedido,15,CONTINE,Producto,89
Pedido,16,CONTINE,Producto,97
Pedido,16,CONTINE,Producto,62
Pedido,17,CONTINE,Producto,2
Pedido,17,CONTINE,Producto,99
Pedido,18,CONTINE,Producto,38
Pedido,18,CONTINE,Producto,77
Pedido,19,CONTINE,Producto,1
Pedido,20,CONTINE,Producto,48
Pedido,20,CONTINE,Producto,25
Pedido,20,CONTINE,Producto,53
Pedido,21,CONTINE,Producto,56
Pedido,21,CONTINE,Producto,51
Pedido,21,CONTINE,Producto,32
Pedido,22,CONTINE,Producto,92
Pedido,23,CONTINE,Producto,83
Pedido,23,CONTINE,Producto,50
Pedido,23,CONTINE,Producto,49
Pedido,24,CONTINE,Producto,34
Pedido,25,CONTINE,Producto,55
Pedido,26,CONTINE,Producto,31
Pedido,26,CONTINE,Producto,67
Pedido,26,CONTINE,Producto,98
Pedido,27,CONTINE,Producto,89
Pedido,27,CONTINE,Producto,88
Pedido,27,CONTINE,Producto,35
Pedido,28,CONTINE,Producto,84
Pedido,28,CONTINE,Producto,96
Pedido,29,CONTINE,Producto,35
Pedido,29,CONTINE,Producto,53
Pedido,29,CONTINE,Producto,25
Pedido,30,CONTINE,Producto,24
Pedido,31,CONTINE,Producto,38
Pedido,32,CONTINE,Producto,82
Pedido,33,CONTINE,Producto,80
