desde_tipo,desde_id,relacion,hasta_tipo,hasta_id
Usuario,175,RECOMIENDA,Restaurante,25
Usuario,50,RECOMIENDA,Restaurante,28
Usuario,177,RECOMIENDA,Restaurante,23
Usuario,211,RECOMIENDA,Restaurante,23
Usuario,29,RECOMIENDA,Restaurante,43
Usuario,126,RECOMIENDA,Restaurante,16
Usuario,121,RECOMIENDA,Restaurante,42
Usuario,160,RECOMIENDA,Restaurante,38
Usuario,44,RECOMIENDA,Restaurante,45
Usuario,34,RECOMIENDA,Restaurante,20
Usuario,59,RECOMIENDA,Restaurante,22
Usuario,87,RECOMIENDA,Restaurante,2
Usuario,276,RECOMIENDA,Restaurante,21
Usuario,20,RECOMIENDA,Restaurante,30
Usuario,337,RECOMIENDA,Restaurante,28
Usuario,291,RECOMIENDA,Restaurante,33
Usuario,462,RECOMIENDA,Restaurante,27
Usuario,137,RECOMIENDA,Restaurante,2
Usuario,357,RECOMIENDA,Restaurante,31
Usuario,302,RECOMIENDA,Restaurante,2
Usuario,163,RECOMIENDA,Restaurante,25
Usuario,293,RECOMIENDA,Restaurante,25
Usuario,166,RECOMIENDA,Restaurante,37
Usuario,51,RECOMIENDA,Restaurante,32
Usuario,52,RECOMIENDA,Restaurante,45
Usuario,346,RECOMIENDA,Restaurante,14
Usuario,173,RECOMIENDA,Restaurante,32
Usuario,258,RECOMIENDA,Restaurante,49
Usuario,342,RECOMIENDA,Restaurante,22
Usuario,86,RECOMIENDA,Restaurante,40
Usuario,154,RECOMIENDA,Restaurante,24
Usuario,497,RECOMIENDA,Restaurante,28
Usuario,104,RECOMIENDA,Restaurante,32
Usuario,326,RECOMIENDA,Restaurante,5
Usuario,431,RECOMIENDA,Restaurante,35
Usuario,110,RECOMIENDA,Restaurante,19
Usuario,136,RECOMIENDA,Restaurante,4
Usuario,153,RECOMIENDA,Restaurante,37
Usuario,206,RECOMIENDA,Restaurante,15
Usuario,320,RECOMIENDA,Restaurante,48
Usuario,491,RECOMIENDA,Restaurante,6
Usuario,368,RECOMIENDA,Restaurante,38
Usuario,49,RECOMIENDA,Restaurante,38
Usuario,173,RECOMIENDA,Restaurante,18
Usuario,35,RECOMIENDA,Restaurante,37
Usuario,411,RECOMIENDA,Restaurante,34
Usuario,244,RECOMIENDA,Restaurante,28
Usuario,108,RECOMIENDA,Restaurante,23
Usuario,408,RECOMIENDA,Restaurante,5
Usuario,334,RECOMIENDA,Restaurante,20
Usuario,259,RECOMIENDA,Restaurante,20
Usuario,222,RECOMIENDA,Restaurante,43
Usuario,277,RECOMIENDA,Restaurante,21
Usuario,103,RECOMIENDA,Restaurante,27
Usuario,206,RECOMIENDA,Restaurante,17
Usuario,320,RECOMIENDA,Restaurante,33
Usuario,233,RECOMIENDA,Restaurante,43
Usuario,391,RECOMIENDA,Restaurante,36
Usuario,93,RECOMIENDA,Restaurante,2
Usuario,322,RECOMIENDA,Restaurante,46
Usuario,265,RECOMIENDA,Restaurante,12
Usuario,296,RECOMIENDA,Restaurante,32
Usuario,110,RECOMIENDA,Restaurante,43
Usuario,493,RECOMIENDA,Restaurante,48
Usuario,481,RECOMIENDA,Restaurante,30
Usuario,138,RECOMIENDA,Restaurante,41
Usuario,273,RECOMIENDA,Restaurante,40
Usuario,437,RECOMIENDA,Restaurante,50
