desde_tipo,desde_id,relacion,hasta_tipo,hasta_id
Usuario,499,SIGUIENDO_A,Usuario,152
Usuario,215,SIGUIENDO_A,Usuario,206
Usuario,454,SIGUIENDO_A,Usuario,349
Usuario,359,SIGUIENDO_A,Usuario,284
Usuario,448,SIGUIENDO_A,Usuario,156
Usuario,370,SIGUIENDO_A,Usuario,381
Usuario,161,SIGUIENDO_A,Usuario,466
Usuario,177,SIGUIENDO_A,Usuario,5
Usuario,424,SIGUIENDO_A,Usuario,144
Usuario,461,SIGUIENDO_A,Usuario,271
Usuario,313,SIGUIENDO_A,Usuario,472
Usuario,76,SIGUIENDO_A,Usuario,359
Usuario,207,SIGUIENDO_A,Usuario,229
Usuario,330,SIGUIENDO_A,Usuario,106
Usuario,455,SIGUIENDO_A,Usuario,279
Usuario,320,SIGUIENDO_A,Usuario,404
Usuario,317,SIGUIENDO_A,Usuario,334
Usuario,227,SIGUIENDO_A,Usuario,358
Usuario,177,SIGUIENDO_A,Usuario,455
Usuario,416,SIGUIENDO_A,Usuario,401
Usuario,333,SIGUIENDO_A,Usuario,208
Usuario,398,SIGUIENDO_A,Usuario,102
Usuario,452,SIGUIENDO_A,Usuario,155
Usuario,44,SIGUIENDO_A,Usuario,19
Usuario,276,SIGUIENDO_A,Usuario,172
Usuario,200,SIGUIENDO_A,Usuario,372
Usuario,369,SIGUIENDO_A,Usuario,379
Usuario,451,SIGUIENDO_A,Usuario,65
Usuario,267,SIGUIENDO_A,Usuario,277
Usuario,146,SIGUIENDO_A,Usuario,110
Usuario,48,SIGUIENDO_A,Usuario,262
Usuario,283,SIGUIENDO_A,Usuario,160
Usuario,267,SIGUIENDO_A,Usuario,175
Usuario,388,SIGUIENDO_A,Usuario,326
Usuario,82,SIGUIENDO_A,Usuario,12
Usuario,15,SIGUIENDO_A,Usuario,456
Usuario,408,SIGUIENDO_A,Usuario,277
Usuario,304,SIGUIENDO_A,Usuario,133
Usuario,124,SIGUIENDO_A,Usuario,427
Usuario,397,SIGUIENDO_A,Usuario,156
Usuario,372,SIGUIENDO_A,Usuario,217
Usuario,259,SIGUIENDO_A,Usuario,57
Usuario,375,SIGUIENDO_A,Usuario,31
Usuario,431,SIGUIENDO_A,Usuario,191
Usuario,133,SIGUIENDO_A,Usuario,322
Usuario,260,SIGUIENDO_A,Usuario,182
Usuario,64,SIGUIENDO_A,Usuario,25
Usuario,388,SIGUIENDO_A,Usuario,334
Usuario,482,SIGUIENDO_A,Usuario,64
Usuario,230,SIGUIENDO_A,Usuario,153
Usuario,294,SIGUIENDO_A,Usuario,378
Usuario,3,SIGUIENDO_A,Usuario,233
Usuario,174,SIGUIENDO_A,Usuario,121
Usuario,413,SIGUIENDO_A,Usuario,382
Usuario,298,SIGUIENDO_A,Usuario,290
Usuario,366,SIGUIENDO_A,Usuario,458
Usuario,481,SIGUIENDO_A,Usuario,322
Usuario,341,SIGUIENDO_A,Usuario,274
Usuario,433,SIGUIENDO_A,Usuario,305
Usuario,120,SIGUIENDO_A,Usuario,180
Usuario,154,SIGUIENDO_A,Usuario,146
Usuario,342,SIGUIENDO_A,Usuario,402
Usuario,418,SIGUIENDO_A,Usuario,367
Usuario,294,SIGUIENDO_A,Usuario,345
Usuario,72,SIGUIENDO_A,Usuario,366
Usuario,194,SIGUIENDO_A,Usuario,267
Usuario,378,SIGUIENDO_A,Usuario,127
Usuario,54,SIGUIENDO_A,Usuario,168
Usuario,265,SIGUIENDO_A,Usuario,299
Usuario,99,SIGUIENDO_A,Usuario,422
Usuario,399,SIGUIENDO_A,Usuario,185
Usuario,233,SIGUIENDO_A,Usuario,51
Usuario,76,SIGUIENDO_A,Usuario,365
Usuario,218,SIGUIENDO_A,Usuario,425
Usuario,211,SIGUIENDO_A,Usuario,42
Usuario,48,SIGUIENDO_A,Usuario,32
Usuario,218,SIGUIENDO_A,Usuario,455
Usuario,67,SIGUIENDO_A,Usuario,244
Usuario,110,SIGUIENDO_A,Usuario,229
Usuario,40,SIGUIENDO_A,Usuario,190
Usuario,347,SIGUIENDO_A,Usuario,270
Usuario,207,SIGUIENDO_A,Usuario,302
Usuario,287,SIGUIENDO_A,Usuario,266
Usuario,399,SIGUIENDO_A,Usuario,203
Usuario,447,SIGUIENDO_A,Usuario,136
Usuario,300,SIGUIENDO_A,Usuario,256
Usuario,326,SIGUIENDO_A,Usuario,217
Usuario,226,SIGUIENDO_A,Usuario,353
Usuario,477,SIGUIENDO_A,Usuario,486
Usuario,251,SIGUIENDO_A,Usuario,375
Usuario,499,SIGUIENDO_A,Usuario,214
Usuario,422,SIGUIENDO_A,Usuario,84
Usuario,74,SIGUIENDO_A,Usuario,259
Usuario,66,SIGUIENDO_A,Usuario,249
Usuario,365,SIGUIENDO_A,Usuario,235
Usuario,67,SIGUIENDO_A,Usuario,496
Usuario,361,SIGUIENDO_A,Usuario,263
Usuario,442,SIGUIENDO_A,Usuario,271
Usuario,61,SIGUIENDO_A,Usuario,356
Usuario,109,SIGUIENDO_A,Usuario,234
Usuario,243,SIGUIENDO_A,Usuario,17
Usuario,383,SIGUIENDO_A,Usuario,81
Usuario,484,SIGUIENDO_A,Usuario,287
Usuario,190,SIGUIENDO_A,Usuario,472
Usuario,488,SIGUIENDO_A,Usuario,61
Usuario,309,SIGUIENDO_A,Usuario,437
Usuario,210,SIGUIENDO_A,Usuario,57
Usuario,62,SIGUIENDO_A,Usuario,190
Usuario,293,SIGUIENDO_A,Usuario,149
Usuario,21,SIGUIENDO_A,Usuario,268
Usuario,79,SIGUIENDO_A,Usuario,61
Usuario,191,SIGUIENDO_A,Usuario,157
Usuario,192,SIGUIENDO_A,Usuario,156
Usuario,151,SIGUIENDO_A,Usuario,249
Usuario,15,SIGUIENDO_A,Usuario,406
Usuario,74,SIGUIENDO_A,Usuario,73
Usuario,402,SIGUIENDO_A,Usuario,302
Usuario,216,SIGUIENDO_A,Usuario,25
Usuario,480,SIGUIENDO_A,Usuario,458
Usuario,157,SIGUIENDO_A,Usuario,456
Usuario,146,SIGUIENDO_A,Usuario,111
Usuario,94,SIGUIENDO_A,Usuario,420
Usuario,379,SIGUIENDO_A,Usuario,251
Usuario,2,SIGUIENDO_A,Usuario,63
Usuario,281,SIGUIENDO_A,Usuario,179
Usuario,35,SIGUIENDO_A,Usuario,446
Usuario,23,SIGUIENDO_A,Usuario,214
Usuario,247,SIGUIENDO_A,Usuario,294
Usuario,159,SIGUIENDO_A,Usuario,290
Usuario,232,SIGUIENDO_A,Usuario,461
Usuario,173,SIGUIENDO_A,Usuario,401
Usuario,194,SIGUIENDO_A,Usuario,244
Usuario,428,SIGUIENDO_A,Usuario,369
Usuario,427,SIGUIENDO_A,Usuario,311
Usuario,68,SIGUIENDO_A,Usuario,391
Usuario,71,SIGUIENDO_A,Usuario,259
Usuario,326,SIGUIENDO_A,Usuario,236
Usuario,390,SIGUIENDO_A,Usuario,231
Usuario,342,SIGUIENDO_A,Usuario,230
Usuario,77,SIGUIENDO_A,Usuario,444
Usuario,373,SIGUIENDO_A,Usuario,167
Usuario,46,SIGUIENDO_A,Usuario,410
Usuario,320,SIGUIENDO_A,Usuario,341
Usuario,320,SIGUIENDO_A,Usuario,210
Usuario,199,SIGUIENDO_A,Usuario,120
Usuario,461,SIGUIENDO_A,Usuario,203
Usuario,174,SIGUIENDO_A,Usuario,277
Usuario,24,SIGUIENDO_A,Usuario,491
Usuario,344,SIGUIENDO_A,Usuario,456
Usuario,227,SIGUIENDO_A,Usuario,377
Usuario,143,SIGUIENDO_A,Usuario,331
Usuario,46,SIGUIENDO_A,Usuario,444
Usuario,85,SIGUIENDO_A,Usuario,363
Usuario,13,SIGUIENDO_A,Usuario,293
Usuario,323,SIGUIENDO_A,Usuario,408
Usuario,396,SIGUIENDO_A,Usuario,363
Usuario,159,SIGUIENDO_A,Usuario,288
Usuario,331,SIGUIENDO_A,Usuario,64
Usuario,330,SIGUIENDO_A,Usuario,287
Usuario,44,SIGUIENDO_A,Usuario,99
Usuario,490,SIGUIENDO_A,Usuario,317
Usuario,278,SIGUIENDO_A,Usuario,296
Usuario,388,SIGUIENDO_A,Usuario,28
Usuario,491,SIGUIENDO_A,Usuario,292
Usuario,268,SIGUIENDO_A,Usuario,97
Usuario,385,SIGUIENDO_A,Usuario,244
Usuario,258,SIGUIENDO_A,Usuario,460
Usuario,10,SIGUIENDO_A,Usuario,62
Usuario,338,SIGUIENDO_A,Usuario,480
Usuario,273,SIGUIENDO_A,Usuario,93
Usuario,493,SIGUIENDO_A,Usuario,10
Usuario,141,SIGUIENDO_A,Usuario,403
Usuario,106,SIGUIENDO_A,Usuario,126
Usuario,425,SIGUIENDO_A,Usuario,362
Usuario,430,SIGUIENDO_A,Usuario,455
Usuario,297,SIGUIENDO_A,Usuario,228
Usuario,44,SIGUIENDO_A,Usuario,414
Usuario,274,SIGUIENDO_A,Usuario,311
Usuario,165,SIGUIENDO_A,Usuario,206
Usuario,302,SIGUIENDO_A,Usuario,24
Usuario,252,SIGUIENDO_A,Usuario,442
Usuario,479,SIGUIENDO_A,Usuario,12
Usuario,175,SIGUIENDO_A,Usuario,224
Usuario,93,SIGUIENDO_A,Usuario,213
Usuario,13,SIGUIENDO_A,Usuario,441
Usuario,271,SIGUIENDO_A,Usuario,163
Usuario,196,SIGUIENDO_A,Usuario,132
Usuario,47,SIGUIENDO_A,Usuario,59
Usuario,51,SIGUIENDO_A,Usuario,278
Usuario,87,SIGUIENDO_A,Usuario,147
Usuario,74,SIGUIENDO_A,Usuario,94
Usuario,131,SIGUIENDO_A,Usuario,394
Usuario,46,SIGUIENDO_A,Usuario,79
Usuario,158,SIGUIENDO_A,Usuario,488
Usuario,209,SIGUIENDO_A,Usuario,348
Usuario,87,SIGUIENDO_A,Usuario,31
Usuario,315,SIGUIENDO_A,Usuario,493
Usuario,167,SIGUIENDO_A,Usuario,93
Usuario,14,SIGUIENDO_A,Usuario,366
Usuario,30,SIGUIENDO_A,Usuario,153
Usuario,200,SIGUIENDO_A,Usuario,51
Usuario,164,SIGUIENDO_A,Usuario,73
Usuario,212,SIGUIENDO_A,Usuario,458
Usuario,166,SIGUIENDO_A,Usuario,133
Usuario,193,SIGUIENDO_A,Usuario,483
Usuario,424,SIGUIENDO_A,Usuario,461
Usuario,62,SIGUIENDO_A,Usuario,27
Usuario,104,SIGUIENDO_A,Usuario,123
Usuario,386,SIGUIENDO_A,Usuario,306
Usuario,301,SIGUIENDO_A,Usuario,122
Usuario,253,SIGUIENDO_A,Usuario,261
Usuario,386,SIGUIENDO_A,Usuario,259
Usuario,198,SIGUIENDO_A,Usuario,487
Usuario,59,SIGUIENDO_A,Usuario,138
Usuario,32,SIGUIENDO_A,Usuario,163
Usuario,238,SIGUIENDO_A,Usuario,284
Usuario,209,SIGUIENDO_A,Usuario,34
