desde_tipo,desde_id,relacion,hasta_tipo,hasta_id
Repartidor,55,ENTREGA,Pedido,1
Repartidor,5,ENTREGA,Pedido,2
Repartidor,97,ENTREGA,Pedido,3
Repartidor,25,ENTREGA,Pedido,4
Repartidor,43,ENTREGA,Pedido,5
Repartidor,48,ENTREGA,Pedido,6
Repartidor,28,ENTREGA,Pedido,7
Repartidor,16,ENTREGA,Pedido,8
Repartidor,52,ENTREGA,Pedido,9
Repartidor,98,ENTREGA,Pedido,10
Repartidor,50,ENTREGA,Pedido,11
Repartidor,20,ENTREGA,Pedido,12
Repartidor,80,ENTREGA,Pedido,13
Repartidor,10,ENTREGA,Pedido,14
Repartidor,78,ENTREGA,Pedido,15
Repartidor,36,ENTREGA,Pedido,16
Repartidor,32,ENTREGA,Pedido,17
Repartidor,17,ENTREGA,Pedido,18
Repartidor,70,ENTREGA,Pedido,19
Repartidor,97,ENTREGA,Pedido,20
Repartidor,55,ENTREGA,Pedido,21
Repartidor,60,ENTREGA,Pedido,22
Repartidor,63,ENTREGA,Pedido,23
Repartidor,75,ENTREGA,Pedido,24
Repartidor,22,ENTREGA,Pedido,25
Repartidor,13,ENTREGA,Pedido,26
Repartidor,34,ENTREGA,Pedido,27
Repartidor,5,ENTREGA,Pedido,28
Repartidor,59,ENTREGA,Pedido,29
Repartidor,3,ENTREGA,Pedido,30
Repartidor,20,ENTREGA,Pedido,31
Repartidor,19,ENTREGA,Pedido,32
Repartidor,20,ENTREGA,Pedido,33
Repartidor,6,ENTREGA,Pedido,34
Repartidor,35,ENTREGA,Pedido,35
Repartidor,29,ENTREGA,Pedido,36
Repartidor,47,ENTREGA,Pedido,37
Repartidor,57,ENTREGA,Pedido,38
Repartidor,1,ENTREGA,Pedido,39
Repartidor,90,ENTREGA,Pedido,40
Repartidor,59,ENTREGA,Pedido,41
Repartidor,48,ENTREGA,Pedido,42
Repartidor,14,ENTREGA,Pedido,43
Repartidor,62,ENTREGA,Pedido,44
Repartidor,64,ENTREGA,Pedido,45
Repartidor,39,ENTREGA,Pedido,46
Repartidor,61,ENTREGA,Pedido,47
Repartidor,3,ENTREGA,Pedido,48
Repartidor,45,ENTREGA,Pedido,49
Repartidor,60,ENTREGA,Pedido,50
Repartidor,9,ENTREGA,Pedido,51
Repartidor,7,ENTREGA,Pedido,52
Repartidor,47,ENTREGA,Pedido,53
Repartidor,31,ENTREGA,Pedido,54
Repartidor,74,ENTREGA,Pedido,55
Repartidor,32,ENTREGA,Pedido,56
