desde_tipo,desde_id,relacion,hasta_tipo,hasta_id,km,tiempo_min
Ubicacion,1,CONECTA_CON,Ubicacion,4661,6.81,18.81
Ubicacion,1,CONECTA_CON,Ubicacion,4872,6.68,19.29
Ubicacion,1,CONECTA_CON,Ubicacion,4593,7.55,14.19
Ubicacion,2,CONECTA_CON,Ubicacion,1220,5.25,8.19
Ubicacion,2,CONECTA_CON,Ubicacion,3823,9.06,16.91
Ubicacion,2,CONECTA_CON,Ubicacion,4350,9.65,16.93
Ubicacion,3,CONECTA_CON,Ubicacion,3171,3.52,6.95
Ubicacion,3,CONECTA_CON,Ubicacion,3177,7.61,18.39
Ubicacion,3,CONECTA_CON,Ubicacion,2866,0.81,0.84
Ubicacion,4,CONECTA_CON,Ubicacion,3224,3.15,5.69
Ubicacion,4,CONECTA_CON,Ubicacion,1491,7.59,15.03
Ubicacion,4,CONECTA_CON,Ubicacion,851,4.28,4.74
Ubicacion,5,CONECTA_CON,Ubicacion,2777,5.4,7.53
Ubicacion,5,CONECTA_CON,Ubicacion,971,6.9,11.23
Ubicacion,5,CONECTA_CON,Ubicacion,1987,7.86,9.83
Ubicacion,6,CONECTA_CON,Ubicacion,1687,7.18,7.47
Ubicacion,6,CONECTA_CON,Ubicacion,2079,3.07,3.52
Ubicacion,6,CONECTA_CON,Ubicacion,3686,5.99,8.92
Ubicacion,7,CONECTA_CON,Ubicacion,3494,2.56,3.8
Ubicacion,7,CONECTA_CON,Ubicacion,2913,3.98,8.6
Ubicacion,7,CONECTA_CON,Ubicacion,2839,4.12,5.75
Ubicacion,8,CONECTA_CON,Ubicacion,4945,8.02,11.11
Ubicacion,8,CONECTA_CON,Ubicacion,2095,3.49,6.19
Ubicacion,8,CONECTA_CON,Ubicacion,571,2.37,5.44
Ubicacion,9,CONECTA_CON,Ubicacion,713,6.87,6.94
Ubicacion,9,CONECTA_CON,Ubicacion,3258,8.6,8.69
Ubicacion,9,CONECTA_CON,Ubicacion,959,9.19,12.43
Ubicacion,10,CONECTA_CON,Ubicacion,374,9.03,14.1
Ubicacion,10,CONECTA_CON,Ubicacion,3196,1.91,2.89
Ubicacion,10,CONECTA_CON,Ubicacion,1649,4.99,6.03
Ubicacion,11,CONECTA_CON,Ubicacion,2568,4.66,5.78
Ubicacion,11,CONECTA_CON,Ubicacion,3474,0.93,1.81
Ubicacion,11,CONECTA_CON,Ubicacion,543,1.44,2.85
Ubicacion,12,CONECTA_CON,Ubicacion,333,9.6,11.39
Ubicacion,12,CONECTA_CON,Ubicacion,4089,1.01,1.08
