id,nombre
1,Restaurante1
2,Restaurante2
3,Restaurante3
4,Restaurante4
5,Restaurante5
6,Restaurante6
7,Restaurante7
8,Restaurante8
9,Restaurante9
10,Restaurante10
11,Restaurante11
12,Restaurante12
13,Restaurante13
14,Restaurante14
15,Restaurante15
16,Restaurante16
17,Restaurante17
18,Restaurante18
19,Restaurante19
20,Restaurante20
21,Restaurante21
22,Restaurante22
23,Restaurante23
24,Restaurante24
25,Restaurante25
26,Restaurante26
27,Restaurante27
28,Restaurante28
29,Restaurante29
30,Restaurante30
31,Restaurante31
32,Restaurante32
33,Restaurante33
34,Restaurante34
35,Restaurante35
36,Restaurante36
37,Restaurante37
38,Restaurante38
39,Restaurante39
40,Restaurante40
41,Restaurante41
42,Restaurante42
43,Restaurante43
44,Restaurante44
45,Restaurante45
46,Restaurante46
47,Restaurante47
48,Restaurante48
49,Restaurante49
50,Restaurante50
