desde_tipo,desde_id,relacion,hasta_tipo,hasta_id
Restaurante,1,UBICADO_EN,Ubicacion,3677
Restaurante,2,UBICADO_EN,Ubicacion,415
Restaurante,3,UBICADO_EN,Ubicacion,2148
Restaurante,4,UBICADO_EN,Ubicacion,4748
Restaurante,5,UBICADO_EN,Ubicacion,2162
Restaurante,6,UBICADO_EN,Ubicacion,144
Restaurante,7,UBICADO_EN,Ubicacion,3162
Restaurante,8,UBICADO_EN,Ubicacion,1062
Restaurante,9,UBICADO_EN,Ubicacion,2325
Restaurante,10,UBICADO_EN,Ubicacion,4028
Restaurante,11,UBICADO_EN,Ubicacion,3294
Restaurante,12,UBICADO_EN,Ubicacion,2369
Restaurante,13,UBICADO_EN,Ubicacion,4229
Restaurante,14,UBICADO_EN,Ubicacion,3378
Restaurante,15,UBICADO_EN,Ubicacion,4771
Restaurante,16,UBICADO_EN,Ubicacion,2006
Restaurante,17,UBICADO_EN,Ubicacion,2935
Restaurante,18,UBICADO_EN,Ubicacion,606
Restaurante,19,UBICADO_EN,Ubicacion,1213
Restaurante,20,UBICADO_EN,Ubicacion,431
Restaurante,21,UBICADO_EN,Ubicacion,4626
Restaurante,22,UBICADO_EN,Ubicacion,2631
Restaurante,23,UBICADO_EN,Ubicacion,3425
Restaurante,24,UBICADO_EN,Ubicacion,3690
Restaurante,25,UBICADO_EN,Ubicacion,3551
Restaurante,26,UBICADO_EN,Ubicacion,542
Restaurante,27,UBICADO_EN,Ubicacion,2381
Restaurante,28,UBICADO_EN,Ubicacion,2696
Restaurante,29,UBICADO_EN,Ubicacion,3898
Restaurante,30,UBICADO_EN,Ubicacion,2256
Restaurante,31,UBICADO_EN,Ubicacion,1224
Restaurante,32,UBICADO_EN,Ubicacion,2893
Restaurante,33,UBICADO_EN,Ubicacion,3079
Restaurante,34,UBICADO_EN,Ubicacion,4773
Restaurante,35,UBICADO_EN,Ubicacion,995
Restaurante,36,UBICADO_EN,Ubicacion,3051
Restaurante,37,UBICADO_EN,Ubicacion,4596
Restaurante,38,UBICADO_EN,Ubicacion,3165
Restaurante,39,UBICADO_EN,Ubicacion,4279
Restaurante,40,UBICADO_EN,Ubicacion,297
Restaurante,41,UBICADO_EN,Ubicacion,259
Restaurante,42,UBICADO_EN,Ubicacion,3585
Restaurante,43,UBICADO_EN,Ubicacion,1805
Restaurante,44,UBICADO_EN,Ubicacion,3759
Restaurante,45,UBICADO_EN,Ubicacion,3760
Restaurante,46,UBICADO_EN,Ubicacion,4262
Restaurante,47,UBICADO_EN,Ubicacion,3081
Restaurante,48,UBICADO_EN,Ubicacion,1981
Restaurante,49,UBICADO_EN,Ubicacion,986
Restaurante,50,UBICADO_EN,Ubicacion,3178
