desde_tipo,desde_id,relacion,hasta_tipo,hasta_id
Usuario,226,REALIZA,Pedido,1
Usuario,234,REALIZA,Pedido,2
Usuario,1,REALIZA,Pedido,3
Usuario,491,REALIZA,Pedido,4
Usuario,220,REALIZA,Pedido,5
Usuario,104,REALIZA,Pedido,6
Usuario,353,REALIZA,Pedido,7
Usuario,466,REALIZA,Pedido,8
Usuario,68,REALIZA,Pedido,9
Usuario,452,REALIZA,Pedido,10
Usuario,333,REALIZA,Pedido,11
Usuario,155,REALIZA,Pedido,12
Usuario,82,REALIZA,Pedido,13
Usuario,448,REALIZA,Pedido,14
Usuario,478,REALIZA,Pedido,15
Usuario,449,REALIZA,Pedido,16
Usuario,141,REALIZA,Pedido,17
Usuario,48,REALIZA,Pedido,18
Usuario,336,REALIZA,Pedido,19
Usuario,185,REALIZA,Pedido,20
Usuario,129,REALIZA,Pedido,21
Usuario,43,REALIZA,Pedido,22
Usuario,191,REALIZA,Pedido,23
Usuario,341,REALIZA,Pedido,24
Usuario,463,REALIZA,Pedido,25
Usuario,333,REALIZA,Pedido,26
Usuario,85,REALIZA,Pedido,27
Usuario,27,REALIZA,Pedido,28
Usuario,203,REALIZA,Pedido,29
Usuario,321,REALIZA,Pedido,30
Usuario,157,REALIZA,Pedido,31
Usuario,372,REALIZA,Pedido,32
Usuario,359,REALIZA,Pedido,33
Usuario,387,REALIZA,Pedido,34
Usuario,120,REALIZA,Pedido,35
Usuario,220,REALIZA,Pedido,36
Usuario,336,REALIZA,Pedido,37
Usuario,47,REALIZA,Pedido,38
Usuario,361,REALIZA,Pedido,39
Usuario,49,REALIZA,Pedido,40
Usuario,1,REALIZA,Pedido,41
Usuario,110,REALIZA,Pedido,42
Usuario,245,REALIZA,Pedido,43
Usuario,40,REALIZA,Pedido,44
Usuario,68,REALIZA,Pedido,45
Usuario,304,REALIZA,Pedido,46
Usuario,116,REALIZA,Pedido,47
Usuario,266,REALIZA,Pedido,48
Usuario,349,REALIZA,Pedido,49
Usuario,228,REALIZA,Pedido,50
Usuario,5,REALIZA,Pedido,51
Usuario,5,REALIZA,Pedido,52
Usuario,357,REALIZA,Pedido,53
Usuario,176,REALIZA,Pedido,54
Usuario,419,REALIZA,Pedido,55
Usuario,62,REALIZA,Pedido,56
Usuario,441,REALIZA,Pedido,57
Usuario,217,REALIZA,Pedido,58
Usuario,356,REALIZA,Pedido,59
Usuario,68,REALIZA,Pedido,60
Usuario,245,REALIZA,Pedido,61
Usuario,37,REALIZA,Pedido,62
Usuario,118,REALIZA,Pedido,63
Usuario,197,REALIZA,Pedido,64
Usuario,46,REALIZA,Pedido,65
Usuario,375,REALIZA,Pedido,66
Usuario,413,REALIZA,Pedido,67
Usuario,53,REALIZA,Pedido,68
Usuario,53,REALIZA,Pedido,69
Usuario,161,REALIZA,Pedido,70
Usuario,189,REALIZA,Pedido,71
Usuario,452,REALIZA,Pedido,72
Usuario,154,REALIZA,Pedido,73
Usuario,71,REALIZA,Pedido,74
Usuario,196,REALIZA,Pedido,75
Usuario,397,REALIZA,Pedido,76
Usuario,417,REALIZA,Pedido,77
Usuario,386,REALIZA,Pedido,78
Usuario,448,REALIZA,Pedido,79
Usuario,69,REALIZA,Pedido,80
Usuario,329,REALIZA,Pedido,81
Usuario,347,REALIZA,Pedido,82
Usuario,74,REALIZA,Pedido,83
Usuario,36,REALIZA,Pedido,84
Usuario,272,REALIZA,Pedido,85
Usuario,289,REALIZA,Pedido,86
Usuario,5,REALIZA,Pedido,87
Usuario,313,REALIZA,Pedido,88
Usuario,333,REALIZA,Pedido,89
Usuario,85,REALIZA,Pedido,90
Usuario,226,REALIZA,Pedido,91
Usuario,180,REALIZA,Pedido,92
Usuario,370,REALIZA,Pedido,93
Usuario,110,REALIZA,Pedido,94
Usuario,322,REALIZA,Pedido,95
Usuario,384,REALIZA,Pedido,96
Usuario,78,REALIZA,Pedido,97
Usuario,471,REALIZA,Pedido,98
Usuario,211,REALIZA,Pedido,99
Usuario,316,REALIZA,Pedido,100
Usuario,352,REALIZA,Pedido,101
Usuario,227,REALIZA,Pedido,102
Usuario,441,REALIZA,Pedido,103
Usuario,112,REALIZA,Pedido,104
Usuario,45,REALIZA,Pedido,105
Usuario,460,REALIZA,Pedido,106
Usuario,52,REALIZA,Pedido,107
Usuario,72,REALIZA,Pedido,108
Usuario,386,REALIZA,Pedido,109
Usuario,64,REALIZA,Pedido,110
